Stage,Question,Category,Options,CorrectAnswer,TestCases,ExpectedOutput,AnswerTime
HR,Describe a time you had to work with a team to solve a complex technical problem where there were conflicting opinions or approaches. How did you navigate these differences and reach a consensus?,Behavioral,,,,,60
HR,This role requires significant collaboration with designers and product managers.  Describe your preferred communication style when working with individuals from different disciplines and how you ensure everyone is aligned on project goals.,Cultural Fit,,,,,60
HR,"Tell me about a time you had to learn a new technology or programming language quickly to meet a deadline.  What was your approach, and what challenges did you encounter?",Experience,,,,,60
HR,"Imagine you've identified a bug in a critical system shortly before a major release.  Describe your step-by-step approach to addressing this issue, considering the time constraints and potential impact.",Problem-Solving,,,,,60
HR,"Where do you see yourself in five years, both professionally and within the context of a company like ours? What are your long-term career aspirations, and how do you see this role contributing to those goals?",Career Motivation,,,,,60
Aptitude,"A system has three components A, B, and C.  The probability of A failing is 0.1, B failing is 0.2, and C failing is 0.3.  Assuming failures are independent, what is the probability that at least one component fails?",Mathematical,"0.481, 0.52, 0.6, 0.7",2,,,60
Aptitude,Which of the following data structures would be MOST efficient for implementing a Last-In-First-Out (LIFO) queue?,Technical,"Linked List, Binary Tree, Stack, Heap",2,,,60
Aptitude,All squares are rectangles. Some rectangles are squares.  All circles are round. Some round shapes are circles. Which statement is logically valid?,Logical,"All squares are round, Some rectangles are circles, All squares are round shapes, Some squares are rectangles",3,,,60
Aptitude,"A software project is estimated to take 100 person-hours. If 5 engineers work on the project, and each works 8 hours a day, how many days will it take to complete the project?",Mathematical,"2.5, 5, 10, 20",0,,,60
Aptitude,Complete the analogy: Database : SQL :: Spreadsheet : ?,Verbal,"Python, Java, JavaScript, Excel",3,,,60
Aptitude,"Identify the next number in the sequence: 2, 6, 12, 20, 30, ?",Abstract,"40, 42, 48, 50",1,,,60
Aptitude,Explain the difference between REST and SOAP APIs in terms of their architectural styles and data formats.,Technical,"A detailed explanation of RESTful architecture and SOAP architecture, focusing on differences in architecture and data formats, B: A brief description of REST and SOAP,  C: A comparison of REST and SOAP regarding security, D:  A focus on performance differences between REST and SOAP",0,,,60
Aptitude,You have a system with high latency.  Which of the following debugging approaches would be LEAST effective initially?,Technical,"Network monitoring tools, Code profiling, User interface testing, Server logs",2,,,60
Aptitude,A team is working on a project with a tight deadline.  One team member consistently misses deadlines. What is the best approach for the team lead?,Logical,"Publicly reprimand the team member, Ignore the issue,  Privately discuss the issue and offer support, Immediately replace the team member",2,,,60
Aptitude,Consider a scenario where a microservice is consistently failing.  What steps would you take to diagnose the problem?,Technical,"A description of debugging steps including logs, monitoring, testing and tracing, B: A focus only on restarting the microservice, C:  A focus solely on database issues, D:  A description of contacting support",0,,,60
Coding,"Design and implement a rate limiter that allows a maximum of N requests per time window of T seconds.  The rate limiter should be thread-safe and handle concurrent requests efficiently.  Your solution should use a data structure of your choice to store the request timestamps. The rate limiter should return true if a request is allowed, and false otherwise.  Assume requests are identified by a unique string identifier.","Algorithms, Data Structures, Concurrency",,,"N = 2, T = 1 (second)
    Requests: [""request1"", ""request2"", ""request3"", ""request4""] at times [0, 0.5, 1.2, 1.8] seconds","[true, true, false, true]  // request3 is rejected because it's within the 1-second window and exceeds the limit of 2 requests.",900
Coding,"Given a large text file containing millions of words, design an algorithm to find the top K most frequent words. Your solution should be efficient in terms of both time and space complexity, considering the large size of the input file.  You can assume that words are separated by spaces and punctuation is not relevant.  The output should be a list of (word, frequency) pairs, sorted in descending order of frequency.  Handle potential memory limitations by processing the file in chunks if necessary.","Algorithms, Data Structures, File I/O",,,"Input File: ""the quick brown fox jumps over the lazy dog the the quick""
    K = 2","[(""the"", 3), (""quick"", 2)]",900
